Parameter	Lower_CI	Upper_CI	Median_CI
11.6667	0.000345293	0.000465201	0.000402472
11.7222	0.000348268	0.000469843	0.00040576
11.7778	0.000336783	0.000454013	0.000393928
11.8333	0.000344261	0.000462263	0.000401378
11.8889	0.000342198	0.000465786	0.000402566
11.9444	0.000337836	0.000457353	0.000395772
12	0.000347547	0.000468007	0.000405744
12.0556	0.000334827	0.000454617	0.000392006
12.1111	0.000341384	0.000461943	0.000400178
12.1667	0.000345407	0.000465753	0.000402129
12.2222	0.000339656	0.000459204	0.000397369
12.2778	0.000339758	0.000458551	0.000397737
12.3333	0.000339046	0.000458027	0.00039648
12.3889	0.000341241	0.000459399	0.000398059
12.4444	0.000339088	0.000458797	0.000397125
12.5	0.000341148	0.00046038	0.000398101
12.5556	0.000335473	0.000456679	0.000394773
12.6111	0.000335475	0.000452017	0.000391209
12.6667	0.000329499	0.000447445	0.000387117
12.7222	0.000340252	0.000462273	0.000399773
12.7778	0.000333693	0.000449987	0.00039004
12.8333	0.000331348	0.00045019	0.000388645
12.8889	0.000338226	0.000456586	0.000395105
12.9444	0.000334262	0.000452103	0.000391422
13	0.000333504	0.00045118	0.000390704
13.0556	0.000337603	0.000456714	0.000394001
13.1111	0.000337052	0.000455319	0.000394453
13.1667	0.000336403	0.000455771	0.000394389
13.2222	0.00033494	0.000450986	0.000389505
13.2778	0.000332854	0.000450748	0.00039069
13.3333	0.000331599	0.000448557	0.000387223
13.3889	0.000333922	0.000450649	0.000390238
13.4444	0.000335221	0.000453147	0.000391948
13.5	0.000333255	0.00044856	0.000389386
13.5556	0.000330569	0.000448344	0.000386477
13.6111	0.000333443	0.000449634	0.000389301
13.6667	0.000330135	0.00044839	0.000387672
13.7222	0.00033313	0.00045075	0.000390447
13.7778	0.000328579	0.000446757	0.000385371
13.8333	0.000327892	0.00044533	0.000383755
13.8889	0.000325897	0.000445519	0.000383455
13.9444	0.000329207	0.000446035	0.000384995
14	0.000332381	0.000449043	0.000388527
14.0556	0.000330936	0.000448751	0.00038905
14.1111	0.000327533	0.000441346	0.000382397
14.1667	0.000330583	0.000446262	0.000386601
14.2222	0.000323848	0.00043651	0.00037831
14.2778	0.000324623	0.000441106	0.000381455
14.3333	0.000327529	0.000444804	0.000383258
14.3889	0.000329454	0.000444009	0.000384191
14.4444	0.000327758	0.000441587	0.000383284
14.5	0.000326647	0.000441894	0.000382958
14.5556	0.000329155	0.000443741	0.00038455
14.6111	0.000325089	0.000441093	0.000380949
14.6667	0.000326522	0.000442857	0.000382538
14.7222	0.000324983	0.000441897	0.000380206
14.7778	0.000324157	0.000438591	0.000379464
14.8333	0.000330296	0.000442512	0.000383798
14.8889	0.000323186	0.000438584	0.000379331
14.9444	0.000326821	0.00044349	0.00038233
15	0.000322662	0.000434842	0.000376531
15.0556	0.000326321	0.000438612	0.000380962
15.1111	0.000326051	0.000442034	0.000382393
15.1667	0.000327928	0.000442562	0.000382165
15.2222	0.000325867	0.00044226	0.000382032
15.2778	0.000323655	0.000436191	0.000379509
15.3333	0.000319735	0.000432166	0.000374404
15.3889	0.000321355	0.000432643	0.000375287
15.4444	0.00032821	0.000441199	0.000383568
15.5	0.000326211	0.000438573	0.000380862
15.5556	0.000323159	0.000438973	0.000379141
15.6111	0.000321034	0.000432367	0.000376128
15.6667	0.000314408	0.000425205	0.00036775
15.7222	0.000321984	0.000436098	0.000377758
15.7778	0.000317962	0.000432511	0.000372178
15.8333	0.000323438	0.000435901	0.000378731
15.8889	0.000319376	0.000431348	0.000372329
15.9444	0.000317734	0.000431007	0.000372707
16	0.000321472	0.000432698	0.000375767
16.0556	0.000320459	0.000434712	0.000374882
16.1111	0.000321031	0.000433466	0.0003757
16.1667	0.0003199	0.000436008	0.00037621
16.2222	0.000322571	0.000435681	0.000376264
16.2778	0.000323401	0.000435711	0.000377597
16.3333	0.000317772	0.000429821	0.000371875
16.3889	0.000319901	0.000431248	0.000373795
16.4444	0.000317049	0.000430091	0.000371003
16.5	0.000317058	0.000429528	0.000371303
16.5556	0.000318723	0.00043166	0.000371854
16.6111	0.000315735	0.000429932	0.000371233
16.6667	0.000319116	0.000431907	0.00037309
16.7222	0.000319489	0.000429536	0.000373088
16.7778	0.000317866	0.000431515	0.000373306
16.8333	0.000318581	0.000431171	0.000372081
16.8889	0.000317152	0.000430146	0.000371933
16.9444	0.000312911	0.000427091	0.000368003
17	0.000316202	0.000427315	0.000370253
17.0556	0.000312619	0.000423747	0.000366793
17.1111	0.000312524	0.000421823	0.000363944
17.1667	0.000314679	0.000425797	0.000367876
17.2222	0.000319445	0.000432574	0.000374293
17.2778	0.000314455	0.000424956	0.000367205
17.3333	0.000317268	0.000426555	0.000370306
17.3889	0.000318691	0.000431833	0.000373234
