Parameter	Lower_CI	Upper_CI	Median_CI
0.535694	0.00521963	0.00591421	0.00556025
0.538333	0.0051856	0.00586049	0.00552219
0.540972	0.00510982	0.00579716	0.00544763
0.543611	0.0050775	0.00575805	0.00541334
0.54625	0.00504945	0.00572126	0.00538334
0.548889	0.00502257	0.00570276	0.00535717
0.551528	0.00495111	0.00561449	0.00527822
0.554167	0.00493883	0.00560298	0.00526285
0.556806	0.00487007	0.00554031	0.00519621
0.559444	0.00478483	0.00544079	0.00510569
0.562083	0.00477898	0.00542933	0.00510066
0.564722	0.0047194	0.00535271	0.00503212
0.567361	0.00466912	0.00529338	0.0049784
0.57	0.00460363	0.00523147	0.00491088
0.572639	0.00458558	0.00521165	0.004893
0.575278	0.00451496	0.00513191	0.00481666
0.577917	0.00445833	0.00509025	0.0047675
0.580556	0.00440905	0.00504173	0.0047291
0.583194	0.00438702	0.00499368	0.00468937
0.585833	0.00433617	0.00493887	0.00462702
0.588472	0.00429405	0.00491781	0.00460347
0.591111	0.00425977	0.00486243	0.00455544
0.59375	0.00418168	0.00478884	0.00448579
0.596389	0.0041683	0.00476919	0.00446228
0.599028	0.00409271	0.00469542	0.00439208
0.601667	0.00406348	0.0046614	0.00435987
0.604306	0.00403775	0.00462327	0.00432857
0.606944	0.00396923	0.00456133	0.00426003
0.609583	0.00391472	0.00449874	0.0042013
0.612222	0.00387259	0.00445147	0.00415124
0.614861	0.00379456	0.00437862	0.00408619
0.6175	0.00376366	0.00433695	0.00405236
0.620139	0.00372615	0.00429612	0.00400619
0.622778	0.00367829	0.00423874	0.00395577
0.625417	0.00365106	0.00419766	0.00392107
0.628056	0.00359736	0.00415537	0.00387693
0.630694	0.0035709	0.0041264	0.00384795
0.633333	0.00350331	0.00405888	0.003776
0.635972	0.00345051	0.00399137	0.00372086
0.638611	0.00341116	0.00396735	0.00368305
0.64125	0.00337109	0.0039146	0.00363326
0.643889	0.00332758	0.00386502	0.00358949
0.646528	0.00328147	0.00381354	0.00354253
0.649167	0.00325223	0.00377765	0.00350938
0.651806	0.00317184	0.00369932	0.00343322
0.654444	0.00313147	0.00366125	0.00339372
0.657083	0.00310043	0.00361715	0.00335238
0.659722	0.00306928	0.00358017	0.00332141
0.662361	0.00298709	0.00349809	0.00324071
0.665	0.00295957	0.00347228	0.00320971
0.667639	0.00293184	0.00344046	0.00318341
0.670278	0.00286024	0.00336091	0.00310652
0.672917	0.00284915	0.00334552	0.00309845
0.675556	0.00278034	0.00327377	0.00302568
0.678194	0.00275601	0.00323818	0.0029946
0.680833	0.00270922	0.0032027	0.00295898
0.683472	0.00264523	0.00313052	0.00288367
0.686111	0.00260011	0.00307426	0.00283143
0.68875	0.00256611	0.00304031	0.00280195
0.691389	0.0025287	0.00300728	0.0027624
0.694028	0.00246122	0.00292348	0.00268615
0.696667	0.00244453	0.00291036	0.00267572
0.699306	0.00239947	0.00286595	0.0026319
0.701944	0.00236415	0.00283166	0.00259247
0.704583	0.00230308	0.00275947	0.0025317
0.707222	0.00227519	0.00272759	0.00249427
0.709861	0.00223182	0.00267278	0.00244578
0.7125	0.00219102	0.00263649	0.00241314
0.715139	0.0021586	0.00259439	0.00237534
0.717778	0.00209094	0.00252062	0.00230195
0.720417	0.00203931	0.00246674	0.00225404
0.723056	0.00203225	0.00244969	0.00223395
0.725694	0.0019893	0.00240514	0.00219123
0.728333	0.0019484	0.00236548	0.00215585
0.730972	0.0019017	0.00230867	0.00209898
0.733611	0.00186666	0.00226247	0.00205995
0.73625	0.0018189	0.00222542	0.00201826
0.738889	0.00178454	0.00218652	0.00198038
0.741528	0.00173422	0.00212659	0.00192623
0.744167	0.00170427	0.00209682	0.00189635
0.746806	0.00167577	0.00207216	0.00186899
0.749444	0.00162096	0.00201041	0.00181349
0.752083	0.00159586	0.00196933	0.00177757
0.754722	0.00154065	0.00191464	0.00172301
0.757361	0.00151916	0.00189187	0.00170103
0.76	0.00147011	0.00183	0.00164707
0.762639	0.00144814	0.00181138	0.00162428
0.765278	0.00138425	0.00173965	0.00155892
0.767917	0.00136761	0.00172334	0.00154051
0.770556	0.00133678	0.00167566	0.00150334
0.773194	0.00128862	0.00162655	0.00145336
0.775833	0.00124552	0.00158143	0.00141077
0.778472	0.00122722	0.00156128	0.00138865
0.781111	0.00119949	0.00153621	0.00136085
0.78375	0.00115327	0.00147738	0.00131238
0.786389	0.00114109	0.00146545	0.00129605
0.789028	0.00108593	0.00140919	0.00123994
0.791667	0.00105163	0.00136211	0.00120516
0.794306	0.00102402	0.00132419	0.00116954
0.796944	0.000999914	0.00129603	0.00114268
0.799583	0.000968195	0.00126616	0.00111154
0.802222	0.000926206	0.00122104	0.00106906
0.804861	0.000913549	0.00119606	0.0010493
0.8075	0.000864546	0.0011455	0.00100051
0.810139	0.00083729	0.00111518	0.000972749
0.812778	0.000811145	0.00108733	0.000947831
0.815417	0.000773182	0.00104037	0.000902012
0.818056	0.000751047	0.00102066	0.0008833
0.820694	0.000721323	0.00097719	0.000846369
0.823333	0.00069613	0.000949903	0.000820305
0.825972	0.000678922	0.000925548	0.000796884
0.828611	0.000628714	0.000865863	0.000745972
0.83125	0.000617068	0.000857845	0.000735083
0.833889	0.000598704	0.000828733	0.000709573
0.836528	0.000567946	0.000796195	0.000678829
0.839167	0.000542027	0.000766865	0.000651249
