Parameter	Lower_CI	Upper_CI	Median_CI
284	1.4023	1.4357	1.41906
285	1.40743	1.44052	1.42363
286	1.41392	1.44661	1.43023
287	1.41578	1.44984	1.43294
288	1.42371	1.45798	1.44109
289	1.42802	1.4611	1.44454
290	1.43328	1.46717	1.4503
291	1.43688	1.47028	1.45337
292	1.44329	1.47726	1.46036
293	1.44803	1.4816	1.46464
294	1.45235	1.48636	1.4694
295	1.45867	1.49258	1.47584
296	1.46172	1.49579	1.47865
297	1.46684	1.50161	1.48419
298	1.47069	1.50581	1.48804
299	1.47602	1.51036	1.49346
300	1.48227	1.51703	1.49965
301	1.4868	1.52198	1.50456
302	1.49119	1.52619	1.50863
303	1.49653	1.53249	1.51466
304	1.5016	1.53638	1.5192
305	1.50729	1.54235	1.52464
306	1.5118	1.54705	1.52886
307	1.51769	1.55311	1.53557
308	1.52255	1.55861	1.54079
309	1.5271	1.56212	1.54467
310	1.53218	1.56799	1.55011
311	1.53735	1.57285	1.55496
312	1.54176	1.57717	1.55948
313	1.54581	1.58152	1.56337
314	1.55077	1.58719	1.569
315	1.55753	1.593	1.57555
316	1.56085	1.59615	1.57832
317	1.56464	1.60082	1.58283
318	1.57103	1.60655	1.58876
319	1.57622	1.61182	1.59397
320	1.58069	1.61696	1.59927
321	1.58606	1.62152	1.60364
322	1.58958	1.62585	1.60787
323	1.59334	1.6294	1.61136
324	1.59948	1.63564	1.61769
325	1.60614	1.64079	1.62365
326	1.60729	1.64303	1.62539
327	1.61327	1.64877	1.63115
328	1.61797	1.65374	1.63595
329	1.62087	1.65612	1.63919
330	1.62672	1.66151	1.64434
331	1.63147	1.66663	1.64938
332	1.6363	1.67082	1.65421
333	1.64102	1.67495	1.65815
334	1.64371	1.67721	1.66074
335	1.64588	1.67952	1.66291
336	1.65012	1.68376	1.66734
337	1.65711	1.68942	1.67352
338	1.65933	1.69191	1.67599
339	1.66429	1.69582	1.68028
340	1.66813	1.69909	1.68385
341	1.67086	1.70166	1.68682
342	1.67352	1.70383	1.68927
343	1.67781	1.70728	1.69304
344	1.67925	1.70872	1.69432
345	1.68426	1.71359	1.69952
346	1.68486	1.71358	1.69951
347	1.68794	1.71584	1.70218
348	1.69112	1.71858	1.70525
349	1.69339	1.72055	1.70733
350	1.6936	1.72084	1.70783
351	1.69675	1.72291	1.71036
352	1.69722	1.72333	1.71067
353	1.69903	1.72457	1.71211
354	1.6988	1.72469	1.71235
355	1.7012	1.727	1.71459
356	1.70182	1.7273	1.71497
357	1.70269	1.72776	1.71558
358	1.70044	1.72644	1.71411
359	1.70247	1.72762	1.71545
360	1.70323	1.72789	1.71605
